name	description
ConvertToDBStatement	Converts a table into a DB2/Oracle/MySQL/TSQL Insert statement
ConvertToHTMLTable	Converts a table variable into an HTML table and stores it in a different variable
ConvertToPlainText	Converts a table variable into plain text and stores it in a different variable
ConvertUNIXTimeToHumanReadable	Convert a UNIX timestamp to human-readable format in UTC.
CorrigoAddComment	add a comment to an existing ticket.  URL must be updated to point to customer environment.
CorrigoCreateTicket	create new Corrigo ticket via api
CorrigoGetTicketsByDate	query Corrigo API for tickets that have been updated after the filter date
CorrigoGetTicketsByDesc	query Corrigo API for tickets matching specified description
CorrigoGetTicketsByWO	query Corrigo API for tickets with a specified Work Order ID custom attribute
CorrigoGetToken	query Corrigo API for access token
CorrigoUpdateStatus	update Corrigo ticket status
CorrigoUploadAttachment	uploads attachment to Corrigo ticket
Counter	Increases the value of a counter (represented by the activity name) by 1
CPU	Returns the current Available CPU/CPU Usage of the selected machine
CreateMemoryTable	Creates a table and saves it to the workflow memory
CreateVirtualDirectory	Creates a Virtual Directory on an IIS website
CreateWindowsEventLog	Creates an entry in the selected Windows event log
CyberArkGetPassword	Retrieves a password from a CyberArk safe
DateDifference	Calculates the difference between two time stamps
DB2Query	Executes a Select query on a DB2 database
DB2Statement	Executes a statement on a DB2 database
DecodeHTML	Decode an HTML-encoded string to plaintext.
DeleteFile	Deletes a file in a specified location
DeleteFolder	Deletes a specified folder
DeleteIncident	Deletes an Incident from the eyeShareDev database
DeleteMemoryTableColumns	Deletes a column or columns from a table, indicated by their numbers
DeleteMemoryTableRows	Deletes specified rows from a table, indicated by their numbers
DiskSpace	Returns the current Disk Space value (usage and availability) of the selected machine
DisplayIDoc	Display IDocs from SAP System.
DisplayIncident	Adds an Incident to eyeShareDev Dashboard
DisplayValue	Displays an eyeShare variable value in the active logs
DisplayXMLSession	Displays the selected XML session
DownloadWebsiteCertificate	Download and save a website''s certificate.
DuoGetPhoneInfo	Retrieve details on an individual Duo phone number.
DuoVerifyIdentity	Send an identity verification request to a Duo user.
EditVirtualDirectory	Edits a Virtual Directory on an IIS website
EnablePrivilegedCommands	Sends an “ena” Cisco command with its password
EncodeURL	Encode a plaintext string to URL format.
EpochConverter	Convert Epoch to Human Readable Date
ESMAcknowledgeAlert	Acknowledges an existing alert in the McAfee ESM console
ESMDeleteAlert	Deletes an existing alert from the McAfee ESM console
ESMGetAlert	Retrieves a list of McAfee ESM alerts according to the selected time frame and criteria
ESMGetEvent	Retrieves a list of McAfee ESM events according to the selected time frame and criteria
ESMUnAcknowledgeAlert	Un-acknowledges an alert in the McAfee ESM console
ExcelWrite	Write to an Excel file (supports sheets).
ExcelWriteWithColoredHeaders	Create an Excel spreadsheet with a highlighted Header Row
ExcelWriteWithDropdown	Create an Excel spreadsheet with a dropdown list.
Executor	Executes any external command or script
ExitWhile	Exit While loop immediately
ExtractByPattern	Extracts all rows within a defined pattern
ExtractLineFromText	Extracts a line from a string, according to its location or a matching keyword
FileAccessedDate	Returns the date on which the file was last accessed
FileChecksumComparison	Compares two files and determines whether they are identical or not
FileCopyRemote	Copy a File from a Source Location to a Destination Location.
FileCount	Counts the number of files in a folder
FileCreatedDate	Returns the date on which the file was created
FileDeleteRemote	Delete file from path
FileExist	Checks whether a specified file exists or not
FileExistRemote	Checks whether a file exist or not supporting impersonation with credentials provided in the the activity for all path types (UNC or Local)
FileGetExt	Retrieves the extension of a selected file
FileGetNameWithoutExt	Retrieves a file''s name without its extension
FileGetPath	Retrieves a file''s path
FileGetRoot	Retrieves a file''s root folder
FileHash	Produces a 128-bit (16-byte) hash value
FileModifiedDate	Returns the date on which the file was last modified
FileMoveRemote	Moves a file from a source location to a destination location supporting impersonation with credentials.
FilePathParser	Parse path and filename from a full path in both Windows and Linux/UNIX format.
FileReadDevariablized	Read and de-variablize file.
FileRename	Renames a specified file
FileSize	Returns the size of a specified file
FileVersion	Returns the version of a specified file
FileWritable	Checks whether a specific file is writable or not
FileWriteDevariablized	Restore variables in contents of de-variablized text and then write it to a file.
FindMissingTableEntries	Based on two tables, find rows missing from one or the other.
Floor	Returns the largest integer smaller than or equal to the specified number
FolderCreate	Creates a new folder
FolderExist	Checks whether a specified folder exists or not
FolderExistRemote	Checks whether a folder exist or not supporting impersonation with credentials provided in the the activity for all path types (UNC or Local)
FolderList	Lists the files and folders under a specified folder, according to predefined time criteria
FolderListRemote	List a folder on a remote Windows host.
FolderRename	Renames a specified folder
FolderSize	Returns the size of a specified folder
FormatDate	Converts a date to a specified target format
FTPCreateFolder	Creates a new folder on the FTP server
FTPDeleteFile	Deletes a file from the FTP server
FTPDeleteFolder	Deletes a folder from the FTP server
FTPFileExists	Checks whether a file exists on the FTP server or not
FTPGetFile	Downloads a file from the FTP server
FTPListFolder	Lists the folders in a specific path on the FTP server
FTPPutFile	Uploads a file to the FTP server
FTPRenameFile	Renames a file on the FTP server
FTPRenameFolder	Renames a folder on the FTP server
FunctionCalculator	Performs various calculations on variables
GDriveGetFile	get a file from google drive
GDriveUploadFile	Upload a file in a Google Drive account.
GetCellValue	Retrieves a cell''s value according to its location in a table
GetCellValueAdvanced	Retrieve a cell value based on the value of another cell in its row.
GetCellValueNoError	Retrieve a cell value based on the value of another cell in its row.
GetColumnName	Retrieves a column''s name
GetColumns	Retrieve one or more columns from a table, either by name or number.
GetColumnsCount	Counts the number of columns in a table
GetDate	Returns current, future or past time in the selected format, in a specific time zone
GetExternalInternetIPAddress	Returns the external IP address of the eyeShareDev server
GetHeaderValue	Get Header Value
GetIncidentOpenDuration	Returns the open duration of an Incident (in minutes)
GetIncidentSeverity	Returns the severity of a selected incident or its currently active instance
GetIncidentTicketID	Returns the Incident''s ticket ID (used to retrieve ticket numbers generated by an integration)
GetInterfacesStatus	Retrieves a table of the Cisco session’s related interfaces and their status (up/down)
GetOpenIncidents	Returns a list of the currently open Incidents in Ayehu Live, according to the selected criteria
GetRows	Returns the selected rows from a table, according to a line number or a certain text phrase
GetRowsCount	Counts the number of rows in a table
GetTableRowNumberByString	Return the row number from a table that contains the entered value
GetTableRowsByRange	Retrieve rows from a Memory Table by range or length.
GetUNIXTimestamp	Retrieve UNIX timestamp.
GetWebsiteCertificateDetails	Retrieve details of a website''s certificate.
GetWindowEventLogs	Returns a table of all events according to the specified event type
GoTo	Redirects to another activity in the Workflow and executes it
HPArcsightDeleteCase	HP Arcsight Delete Case
HPArcsightGetCase	HP Arcsight Get Case
HPArcsightGetEvent	HP Arcsight Get Event
HPArcsightUpdateCase	HP Arcsight Update Case
HPOMAcknowledgeAlert	Acknowledges an open HP Operation Manager alert
HPOMAddAnnotation	Adds an annotation to an open HP Operation Manager alert
HPOMCreateAlert	Creates a new HP Operation Manager alert 
HPOMDeleteAnnotation	Removes an annotation from an HP Operation Manager alert
HPOMDeleteCustomAttribute	Removes a custom attribute from an open HP Operation Manager alert
HPOMDisownAlert	Disowns an owned HP Operation Manager alert
HPOMGetAlert	Retrieves a list of HP Operation Manager alerts according to the selected criteria
HPOMGetAnnotations	Retrieves a list of all annotations of a specified HP Operation Manager alert
HPOMOwnAlert	Owns an open HP Operation Manager alert
HPOMSetCustomAttribute	Sets a custom attribute to an existing HP Operation Manager alert
HPOMUnacknowledgeAlert	Unacknowledges a closed HP Operation Manager alert
HPOMUpdateAlert	Updates an existing HP Operation Manager alert
HPOMUpdateAnnotation	Updates an existing annotation of a specific HP Operation Manager alert
HPSMNewEntry	Creates a new HP Service Manager entry
HPSMQueryEntry	Retrieves a list of HP Service Manager entries according to the selected criteria
HPSMUpdateEntry	Updates an existing HP Service Manager entry
HTTPRequest	Sends an HTTP request (including headers)
HyperVAddDisk	Add disk to a virtual machine
HyperVCalcHostRating	Calculate host rating
HyperVExpandDiskSize	Expand disk size to a virtual machine
HyperVImport	Import virtual machine
HyperVInfo	Get information for specific virtual machine name
HyperVList	Get list of virtual machine names
HyperVModifyMemory	Modify the amount of memory for a virual machine
HyperVNew	New virtual machine
HyperVPowerOFF	Power off virtual machine
HyperVPowerON	Power on virtual machine
HyperVRefreshVM	Refresh VM
HyperVRestart	Restart virtual machine
HyperVStaticMac	Modify Static MAC
IBMTOCreateAlert	Creates a new IBM Tivoli Omnibus alert
IBMTOGetAlert	Gets a list of IBM Tivoli Omnibus alerts according to the selected criteria
