ActivityName,SelectedModuleID,ModuleTypeName,Category,TaskType,NodeType,UsageCount,IsOrphaned
sysDictionaryReadSuccess,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
syncCorrigoAttachments,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
tableDateFormatter1,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
SystemUptime_IsDenied,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
TableToAddROIAudit,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
TableToAddRulesAudit,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
TableToAddSchedulerAudit,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
TableToAddSSPFormAudit,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
TableToAddSSPLogAudit,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
tableReplaceCellValues2,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
tableSearch1,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
TablesRunningLogic,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
TableToAddDomainAudit,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
Summary,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
Summary_PROPS,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
SuspendJobFailedLog,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
SuspendNetBackupPolicyLog,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
sumCells1,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
SuccessBranch,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
Successful_PingServer,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
Successful_Restart,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
Successful_ServerRestart,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
successfulHttp,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
SuccessModuleInstallLogs,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
T_CHATBOT_DIALOG_SCENARIO,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
T_ISAM_rows_matching_DYINGGASP,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
T_ISAM_rows_with_DYINGGASP_yes,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
T_key_is_here,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
T_PON_LOSS_RESULTS,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
T_PON_LOSS_RESULTS_failing,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
T_PORT_all_DYING_GASPS_RESULTS_rows,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
T_PORT_fully_matching_DyingGasps,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
T_PORT_positive_DYING_GASPS_RESULTS,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
T_show_alarm_current,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
T_show_alarm_table,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
T_show_dying_gasps,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
T_show_olt_pon_loss,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
T_show_olt_pon_loss_INDEX,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
T_show_olt_pon_loss_PORT,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
T_splitted_ISAM_lambert_coordinates_a,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
T_XPON_LOSS_RESULTS,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
T_XPON_LOSS_RESULTS_failing,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
Table_module,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
table_Mstatus,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
terminateTelnetSession1,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
TerminateWF_Denied,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
taskCount,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
TESTfullName,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
TESTData,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
TESTemailData,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
TESTfileCount,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
TESTValues,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
TESTVMCount,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,1,0
